Name,Potential,Yield,SRM,Mash Req.,Aromatic,Biscuit,Body,Burnt,Caramel,Chocolate,Coffee,Grainy,Head,Malty,Nutty,Roasted,Smoked,Sweet,Toasted
CaraFoam,,,1,,,,X,,,,,,X,,,,,,
UK Pilsner 2-Row,1.036,77.90%,1,X,,,,,,,,,,,,,,,
Malted Oats,1.037,80.00%,1,,,,X,,,,,,X,,,,,,
2-Row Malt,1.036,77.90%,2,X,,,,,,,,,,,,,,,
6-Row Malt,1.035,75.70%,2,X,,,,,,,,,,,,,,,
Golden Promise,,,2,X,,,,,,,,,,,,,,X,
Belgian Pilsner 2-Row,1.036,77.90%,2,X,,,,,,,,,,,,,,,
German Pilsner 2-Row,1.037,80.00%,2,X,,,,,,,,,,,,,,,
Lager Malt,1.038,82.20%,2,X,,,,,,,,,,,,,,,
Belgian Wheat,1.037,80.00%,2,X,,,,,,,,,,,,,,,
German Wheat,1.039,84.40%,2,X,,,,,,,,,,,,,,,
White Wheat,1.04,86.70%,2,X,,,,,,,,,,X,,,,,
CaraPils,1.033,71.40%,2,,,,X,,,,,,X,,,,,,
Dextrine Malt,1.033,71.40%,2,,,,X,,,,,,X,,,,,,
Acid Malt,1.027,58.40%,3,X,,,,,,,,,X,,,,,,
Peated Malt,1.034,73.60%,3,,,,,,,,,,,,,,,,
Maris Otter,1.038,82.20%,3,X,,,,,,,,,,,X,,,,
Optic,,,3,X,X,,,,,,,,,,,,,X,
Briess Pale Ale Malt,,,4,X,,,,,,,,,,X,,,,,
English Mild,1.037,80.00%,4,X,,,,,,,,,,,,,,,
Vienna Malt,1.036,77.90%,4,X,,,,,,,,,,,,,,,
Toasted Malt,1.029,62.80%,5,,X,,X,,,,,,,,,,,,
Dark Wheat,1.039,84.40%,9,X,,,,,,,,,,,,,,,
Munich Malt,1.037,80.00%,9,X,,,,,,,,,,X,,,,X,
Smoked Malt,1.037,80.00%,9,X,,,,,,,,,,,,,X,,
Crystal 10,1.033 - 1.035,71.4 - 75.7%,10,,,,X,,X,,,,X,,,,,X,
Name,Potential,Yield,SRM,Mash Req.,Aromatic,Biscuit,Body,Burnt,Caramel,Chocolate,Coffee,Grainy,Head,Malty,Nutty,Roasted,Smoked,Sweet,Toasted
Carastan 15,1.033 - 1.035,71.4 - 75.7%,15,,,,X,,X,,,,X,,,,,X,
Munich 10,1.035,75.70%,10,X,,,,,,,,,,X,,,,X,
Crystal 20,1.033 - 1.035,71.4 - 75.7%,20,,,,X,,X,,,,X,,,,,X,
Munich 20,1.035,75.70%,20,X,,,,,,,,,,X,,,,X,
CaraRed,1.035,75.70%,20,,,,X,,,,,,X,,,,,,
Melanoidin Malt,1.037,80.00%,20,,X,,,,,,,,,X,,,,,
Amber Malt,1.035,75.70%,22,X,,X,,,,,,,,,,,,,
CaraVienna,1.034,73.60%,22,,,,,,,,,,,,,,,,
Belgian Biscuit Malt,1.036,77.90%,23,X,X,X,,,,,,,,,,,,,
Brumalt,1.033,71.40%,23,X,,,,,,,,,,X,,,,,
Gambrinus Honey Malt,1.037,80.00%,25,X,,,,,,,,,,X,,,,X,
Belgian Aromatic,1.036,77.90%,26,X,X,,,,,,,,,X,,,,,
Victory Malt,1.034,73.60%,28,X,X,X,,,,,,,,,X,,,,X
Crystal 30,1.033 - 1.035,71.4 - 75.7%,30,,,,X,,X,,,,X,,,,,X,
Carastan 35,1.033 - 1.035,71.4 - 75.7%,35,,,,X,,X,,,,X,,,,,X,
Crystal 40,1.033 - 1.035,71.4 - 75.7%,40,,,,X,,X,,,,X,,,,,X,
Caramel Wheat Malt,1.035,75.70%,46,,X,,,,,,,,,,,,,,
Special Roast,1.033,71.40%,50,,X,X,,,,,,,,,,,,,X
CaraMunich,1.033,71.40%,56,,,,,,X,,,,,,,,,,
Name,Potential,Yield,SRM,Mash Req.,Aromatic,Biscuit,Body,Burnt,Caramel,Chocolate,Coffee,Grainy,Head,Malty,Nutty,Roasted,Smoked,Sweet,Toasted
Crystal 60,1.033 - 1.035,71.4 - 75.7%,60,,,,X,,X,,,,X,,,,,X,
Brown Malt,1.032,69.20%,65,X,,X,,,,,,,,,,,,,
Crystal 80,1.033 - 1.035,71.4 - 75.7%,80,,,,X,,X,,,,X,,,,,X,
Crystal 90,1.033 - 1.035,71.4 - 75.7%,90,,,,X,,X,,,,X,,,,,X,
Crystal 120,1.033 - 1.035,71.4 - 75.7%,120,,,,X,,X,,,,X,,,,,X,
CaraAroma,1.035,75.70%,130,,,,X,,X,,,,X,X,,,,,
Crystal 150,1.035,75.70%,150,,,,X,,X,,,,X,,,,,X,
Special B,1.03,64.90%,180,,X,,,,X,,,,,,,,,,
Chocolate Rye Malt,1.031,67.10%,250,,,,,,,,,,,,,,,,
Roasted Barley,1.025,54.10%,300,,,,,X,,,X,X,,,X,X,,,
Carafa I,1.032,69.20%,337,,X,,,,,,,,,,,,,,
Chocolate Malt,1.034,73.60%,350,,,,,,,X,X,,,,X,,,,X
Coffee Malt,1.034,74.00%,165,,,,,,,,X,,,,,,,,X
Chocolate Wheat Malt,1.033,71.40%,400,,X,,,,,,,,,,,,,,
Carafa II,1.032,69.20%,412,,X,,,,,,,,,,,,,,
Black Patent Malt,1.025,54.10%,500,,,,,X,,,,,,,,X,,,
Black Barley,1.025,54.10%,500,,,,,,,,X,,,,,,,,
Carafa III,1.032,69.20%,525,,X,,,,,,,,,,,,,,
